Importância,Feature
0.3836478918845634),median_income
0.15274557724990617),INLAND
0.11224981463417585),populacao_por_casa
0.06602117520626415),longitude
0.06103837150502623),latitude
0.06047779040313968),quartos_pos_aposentos
0.04558184478747644),aposentos_por_casa
0.04303011145539841),housing_median_age
0.015117949382388824),total_bedrooms
0.01507167343006818),households
0.014675153763404695),total_rooms
0.014651298933209274),population
0.010820840668902333),<1H OCEAN
0.002933907551299058),NEAR OCEAN
0.0017993164419363506),NEAR BAY
0.00013728270284104902),ISLAND
