ID venda;Produto;Preço;Data
1;Notebook;2684.24;2025-01-01
2;Tablet;1696.65;2025-01-02
3;Notebook;3942.78;2025-01-03
4;Tablet;3588.53;2025-01-04
5;Celular;3088.24;2025-01-05
6;Celular;3450.88;2025-01-06
7;Celular;4581.08;2025-01-07
8;Celular;3393.56;2025-01-08
9;Tablet;3197.36;2025-01-09
10;Celular;1060.76;2025-01-10
11;Celular;4896.47;2025-01-11
12;Celular;3076.67;2025-01-12
13;Celular;3791.38;2025-01-13
14;Celular;4788.18;2025-01-14
15;Celular;3251.79;2025-01-15
16;Notebook;4249.4;2025-01-16
17;Notebook;2622.66;2025-01-17
18;Tablet;3594.49;2025-01-18
19;Notebook;4078.93;2025-01-19
20;Celular;1202.23;2025-01-20
21;Notebook;1649.28;2025-01-21
22;Notebook;1446.5;2025-01-22
23;Tablet;4460.22;2025-01-23
24;Tablet;4959.61;2025-01-24
25;Celular;3181.75;2025-01-25
26;Tablet;2311.87;2025-01-26
27;Notebook;3924.98;2025-01-27
28;Tablet;3964.63;2025-01-28
29;Notebook;2558.66;2025-01-29
30;Notebook;3390.73;2025-01-30
31;Celular;3131.07;2025-01-31
32;Tablet;4661.75;2025-02-01
33;Tablet;4400.85;2025-02-02
34;Notebook;4822.68;2025-02-03
35;Tablet;1598.15;2025-02-04
36;Celular;4154.08;2025-02-05
37;Celular;4118.68;2025-02-06
38;Notebook;2222.59;2025-02-07
39;Notebook;1514.75;2025-02-08
40;Tablet;1506.7;2025-02-09
41;Notebook;2774.88;2025-02-10
42;Celular;1198.56;2025-02-11
43;Tablet;1333.9;2025-02-12
44;Tablet;3093.88;2025-02-13
45;Tablet;2158.94;2025-02-14
46;Notebook;2433.15;2025-02-15
47;Tablet;4137.26;2025-02-16
48;Celular;2515.56;2025-02-17
49;Tablet;3152.57;2025-02-18
50;Tablet;4592.18;2025-02-19
51;Celular;2424.61;2025-02-20
52;Celular;4637.85;2025-02-21
53;Tablet;2607.75;2025-02-22
54;Celular;3272.77;2025-02-23
55;Notebook;1503.87;2025-02-24
56;Notebook;2072.91;2025-02-25
57;Tablet;2901.53;2025-02-26
58;Notebook;1829.15;2025-02-27
59;Notebook;3508.43;2025-02-28
60;Tablet;2276.75;2025-03-01
61;Tablet;2967.53;2025-03-02
62;Notebook;4753.54;2025-03-03
63;Tablet;2540.02;2025-03-04
64;Celular;4281.99;2025-03-05
65;Celular;3905.63;2025-03-06
66;Notebook;1859.78;2025-03-07
67;Celular;2598.2;2025-03-08
68;Celular;4429.89;2025-03-09
69;Tablet;2188.76;2025-03-10
70;Celular;2552.58;2025-03-11
71;Notebook;3145.22;2025-03-12
72;Tablet;2802.82;2025-03-13
73;Celular;3647.09;2025-03-14
74;Tablet;4855.92;2025-03-15
75;Notebook;2468.14;2025-03-16
76;Tablet;1793.79;2025-03-17
77;Notebook;3278.23;2025-03-18
78;Celular;3617.46;2025-03-19
79;Notebook;1922.13;2025-03-20
80;Celular;3180.74;2025-03-21
81;Celular;1705.46;2025-03-22
82;Celular;4771.88;2025-03-23
83;Notebook;1154.38;2025-03-24
84;Notebook;4742.63;2025-03-25
85;Tablet;4519.42;2025-03-26
86;Notebook;2285.28;2025-03-27
87;Notebook;1522.42;2025-03-28
88;Notebook;1057.62;2025-03-29
89;Celular;3559.41;2025-03-30
90;Tablet;1580.22;2025-03-31
91;Celular;2109.23;2025-04-01
92;Celular;2730.27;2025-04-02
93;Celular;4643.76;2025-04-03
94;Celular;4445.37;2025-04-04
95;Notebook;2883.81;2025-04-05
96;Celular;4927.5;2025-04-06
97;Notebook;4403.08;2025-04-07
98;Notebook;4911.42;2025-04-08
99;Celular;3456.69;2025-04-09
100;Notebook;4107.32;2025-04-10
